"Product SKU","Product Name","Price","Quantity","size","tcs","tip"
"4410","4410","80","0","10*28*7","P07213","TC"
"4409","4409","100","0","12.7*28.5*6.5","P07203","SM"
"4408","4408","100","0","12.7*27*6.5","P07202","SM"
"4407","4407","100","0","12*25*7","P07200","SM"
"4406","4406","100","0","10*27*6.7","P07199","SM"
"4405","4405","100","0","10*25.5*6.3","P07198","SM"
"4404","4404","660","0","100*160*12","P07187","SC"
"4403","4403","660","0","130*146*14","P07181","TB"
"4402","4402","120","0","35*47*10","P07174","TC"
"4401","4401","760","0","140*170*13","P07172","TC"
"","4400","380","0","37*78*8/12","P07170","SBC9W13"
"4399","4399","100","0","14*22*7","P07153","TC"
"4398","4398","220","0","55*76*9","P07149","TB"
"4397","4397","200","0","30*72*7","","TC"
"4396","4396","160","0","25*65*10","P07133","TC"
"4395","4395","120","0","23*47*10","P07132","TC"
"4394","4394","1660","0","200*240*20","P07102","TC"
"4393","4393","240","0","70*88*8","P07101","TC"
"4392","4392","160","0","42*65*10","P07099","TC"
"4391","4391","160","0","37*57*10","P07098","TC"
"4390","4390","140","0","35*54*7","P07096","TC"
"4389","4389","120","0","30*46*8","P07092","TC"
"4388","4388","100","0","27*38*5","P07090","TC"
"4387","4387","80","0","12*32*5","P07085","TC"
"4386","4386","180","0","54*68*9","P07079","TC"
"4385","4385","220","0","35*80*13","P07078","TC"
"4384","4384","120","0","32*44*10","P07077","TC"
"4383","4383","120","0","24*42*8","P07057","TC"
"4382","4382","240","0","33*42/44.7*8.2/16.3","P07056","TG4J1"
"4381","4381","80","0","16*32*5","P07042","TC"
"4380","4380","120","0","25*44*7","P07039","TC"
"4379","4379","740","0","139*158*11","P07037","TB"
"4378","4378","120","0","12*28*8","P07035","TC4"
"4377","4377","820","0","52*76*8.5/14","P07031","SCARO2"
"4376","4376","680","0","102*120*20","P07030","TBCJ5"
"4375","4375","160","0","49*65*10","P07009","SC"
"4374","4374","180","0","44*67*10","P07008","TC"
"4373","4373","160","0","52*65*9","P07001","TC"
"4372","4372","120","0","35*49*6","P06998","TC"
"4371","4371","80","0","12*29*7","P06994","TC"
"4370","4370","580","0","115*145*14","P06977","SC"
"4369","4369","1160","0","180*200*15","P06968","TC"
"4368","4368","240","0","55*88*10","P06965","TC"
"4367","4367","80","","15*33*7","P06963","TC"
"4366","4366","80","0","8*21*6","P06962","TC"
"4365","4365","120","0","19*47*10","P06950","TC"
"4364","4364","100","0","17*40*7","P06928","TC"
"4363","4363","140","0","35*50*9","P06925","TB"
"4362","4362","660","0","145*170*15","P06917","TC"
"4361","4361","100","0","18*40*8","P06914","TC"
"4360","4360","80","0","10*24*7","P06913","TC"
"4359","4359","240","0","60*72*12","P06886","TM"
"4358","4358","580","0","83*141*13","P06875","TC"
"4357","4357","140","0","17*25*5","P06863","SM"
"4356","4356","120","0","35*50*8","P06859","TC"
"4355","4355","580","0","120*145*12","P06857","TC"
"4354","4354","580","0","110*150*12","P06855","TC"
"4353","4353","580","0","110*145*12","P06854","TC"
"4352","4352","580","0","80*150*12","P06847","TC"
"4351","4351","200","0","70*115*12","P06841","TC"
"4350","4350","200","0","65*115*10","P06840","TC"
"4349","4349","380","0","65*110*10","P06839","TC"
"4348","4348","200","0","65*75*8","P06838","TC"
"4347","4347","160","0","55*65*7","P06837","TC"
"4346","4346","200","0","50*75*8","P06836","TC"
"4345","4345","80","0","25*35*4","P06834","TC"
"4344","4344","100","0","21*40*7","P06833","TC"
"4343","4343","140","0","20*55*6","P06832","TC"
"4342","4342","660","0","125*160*12","P06831","TC"
"4341","4341","100","0","14*22*4","P06830","TC"
"4340","4340","100","0","12*22*7","P06827","SZ"
"4339","4339","580","0","130*150*13","P06822","TC"
"4338","4338","580","0","125*145*12","P06821","TC"
"4337","4337","500","0","110*130*15","P06820","TC"
"4336","4336","200","0","45*61*9","P06817","TB"
"4335","4335","160","0","42*60*12","P06806","TC"
"4334","4334","140","0","30.95*43*6","P06749","SM"
"4333","4333","100","0","16*40*7","P06745","TC"
"4332","4332","1800","0","215*245*15","P06738","TC"
"4331","4331","540","0","100*135*10","P06723","TC"
"4330","4330","160","0","45*58*10","P06720","TC"
"4329","4329","220","0","40*85*12","P06719","TC"
"4328","4328","160","0","38*57*9","P06718","TC"
"4327","4327","120","0","33*50*8","P06715","TC"
"4326","4326","140","0","35*54*10","P06706","TC"
"4325","4325","1500","0","130*230*14","P06702","TC"
"4324","4324","480","0","80*125*10","P06695","TC"
"4323","4323","160","0","40*57*10","P06694","TC"
"4322","4322","140","0","34*52*8","P06691","TC"
