"F-00074","10*20*7.5","0M","фото ",18,60,"OPEL",,1
"F-00355","10*20*7.5","0M","фото ",18,60,"DAEWOO",,2
"F-00608","11.7*22*6/8.5","1РМ2","фото ",501,60,"CHRYSLER",,3
"F-00102","12*27*9/10","7V1PM","фото ",172,90,"CHEVROLET",,4
"F-00178","12*27*9/10","7V1PM","фото ",171,90,"OPEL",,5
"F-00726","12*38*10","7V2","фото ",363,90,"CHRYSLER, DODGE",,6
"F-00372","14*27*9/10","7V1PM","фото ",370,90,"OPEL",,7
"F-00523","14*30.5/38.4*5/11","6V3","фото ",364,90,"CHRYSLER",,8
"F-00432","15*28*6.3","1РМA","фото ",100,60,"OPEL",,9
"F-00597","15*28*6.3","1РМA","фото ",100,60,"SUBARU",,10
"F-00744","15*28*6.3","1РМA","фото ",100,60,"DAEWOO",,11
"F-00365","16*26*5/6 ","1РМ","фото ",76,30,"AUDI, BMW",,12
"F-00052","16*28*7","1РМ","фото ",0,30,"AUDI ",,13
"F-00555","16*30*6.3","1РМA","фото ",3,60,"FORD TEMPO",,14
"F-00149","16*30*6.3","1РМA","фото ",3,60,"FORD MONDEO",,15
"F-00894","16*30*6.3","1РМA","фото ",2,60,"FORD TRANSIT",,16
"F-00689","16*30*6.3","1РМA","фото ",3,60,"FIAT",,17
"F-01106","16*30*6.3","1РМA","фото ",3,60,"FORD FOCUS",,18
"F-00976","16.9*27*5/6 ","1РМ","фото ",86,30,"MERCEDES",,19
"F-00148","17*28*8","0M2","фото ",132,60,"VOLVO",,20
"F-00506","17*28*8","0M2","фото ",132,60,"FIAT DUKATO",,21
"F-00606","17*29*7","1РМ","фото ",9,30,"MITSUBISHI",,22
"F-00356","17*30*7","0M2","фото ",86,60,"FIAT",,23
"F-00414","17*30*7","1РМ","фото ",150,30,"MAZDA",,24
"F-00473","17*30*7","1РМ","фото ",150,30,"KIA",,25
"F-00154","17*32*7","1РМ","фото ",32,30,"NISSAN",,26
"F-00465","17*32*8.5","0AM2","фото ",325,60,"TOYOTA",,27
"F-00165","17*34*8","1РМA","фото ",312,60,"TOYOTA, LEXUS",,28
"F-00122","17*36*6.6","0MA","фото ",40,90,"WV",,29
"F-00687","17*36*6.6","0MA","фото ",40,90,"CHEVROLET",,30
"F-00781X","17.5*30*5/5.7 ","1РМ","фото ",66,90,"Ремонтный размер",,31
